xai,variant,ROC,ROC-std,Cos,Cos-std,Pearson,Pearson-std
shap,kmeans,0.635782624541929,0.1581459211262616,0.3568221954914788,0.1459235166276659,0.1945997761085669,0.2313197493837417
shap,mean,0.5734303027808995,0.1795986740116076,0.1809951775420422,0.2902922808311713,0.2216340944338663,0.298792224596315
shap,zeros,0.6383744336839627,0.148060125956876,-0.1890892989297219,0.1274266571744362,0.2794251804878203,0.2970208469864578
shap,single_optimum,0.8366569742973904,0.1275646047796851,0.5765736622672182,0.2174080954373407,0.2755779423212418,0.3032848708267808
lime,kmeans,0.6310139584573655,0.1050444149375273,0.2257301904251662,0.1410901950073661,0.2883943955623169,0.3324763596225477
captum_gradient,zeros,0.6234569060765967,0.1960975652459444,0.1335969060432436,0.214997846875473,0.1983134408638093,0.2144154904158803
captum_grad_input,zeros,0.8470303860454297,0.1278569405435173,0.5986032286935439,0.1691483870833838,0.2621782304446525,0.2886577371489513
captum_lrp,zeros,0.5968439100253333,0.1496822479589593,0.2017103601682603,0.1671194917709691,0.2406850679045553,0.2905672881937188
captum_intgrad,mean,0.6514353741708336,0.1258960562912867,0.1809565643341733,0.228415948408051,0.2562202016731701,0.3119997251118521
captum_intgrad,zeros,0.623799905141469,0.1452331914325777,-0.1591643043386083,0.1731759327705669,0.2901025223141664,0.3178559764821965
captum_intgrad,single_optimum,0.8074642533574417,0.15639471324999127,0.47412874561269647,0.19605452904933704,0.241700842523352,0.26129224848414717
